id,Name,Include,Level,Flood Protection Return Period,Storeys Above Ground,Model,Country,Function type,Category group,Subcategory,Secondary Subcategory,Tertiary Subcategory,Description of category by source,Method,Scale,Notes
174,FLEMOps: One Family house,TRUE,Average,0,,FLEMOps,Germany,Content,Residential,Single-family,Fully-detached,,,Observations,Micro,
175,FLEMOps: One Family house,TRUE,Low,0,,FLEMOps,Germany,Content,Residential,Single-family,Fully-detached,,,Observations,Micro,
176,FLEMOps: One Family house,TRUE,High,0,,FLEMOps,Germany,Content,Residential,Single-family,Fully-detached,,,Observations,Micro,
177,FLEMOps: Terraced/semi detached house,TRUE,Average,0,,FLEMOps,Germany,Structure,Residential,Terraced;Semi-detached,,,,Observations,Micro,
178,FLEMOps: Terraced/semi detached house,TRUE,Low,0,,FLEMOps,Germany,Structure,Residential,Terraced;Semi-detached,,,,Observations,Micro,
179,FLEMOps: Terraced/semi detached house,TRUE,High,0,,FLEMOps,Germany,Structure,Residential,Terraced;Semi-detached,,,,Observations,Micro,
180,FLEMOps: Terraced/semi detached house,TRUE,Average,0,,FLEMOps,Germany,Content,Residential,Terraced;Semi-detached,,,,Observations,Micro,
181,FLEMOps: Terraced/semi detached house,TRUE,Low,0,,FLEMOps,Germany,Content,Residential,Terraced;Semi-detached,,,,Observations,Micro,
182,FLEMOps: Terraced/semi detached house,TRUE,High,0,,FLEMOps,Germany,Content,Residential,Terraced;Semi-detached,,,,Observations,Micro,
183,FLEMOps: Appartment building,TRUE,Average,0,,FLEMOps,Germany,Structure,Residential,Apartments,,,,Observations,Micro,
184,FLEMOps: Appartment building,TRUE,Low,0,,FLEMOps,Germany,Structure,Residential,Apartments,,,,Observations,Micro,
185,FLEMOps: Appartment building,TRUE,High,0,,FLEMOps,Germany,Structure,Residential,Apartments,,,,Observations,Micro,
186,FLEMOps: Appartment building,TRUE,Average,0,,FLEMOps,Germany,Content,Residential,Apartments,,,,Observations,Micro,
187,FLEMOps: Appartment building,TRUE,Low,0,,FLEMOps,Germany,Content,Residential,Apartments,,,,Observations,Micro,
188,FLEMOps: Appartment building,TRUE,High,0,,FLEMOps,Germany,Content,Residential,Apartments,,,,Observations,Micro,
189,FLEMOcs: Public/Private Services,TRUE,High,0,,FLEMOcs,Germany,Structure,Employment,Office,,,,Observations,Micro,
190,FLEMOcs: Public/Private Services,TRUE,Average,0,,FLEMOcs,Germany,Structure,Employment,Office,,,,Observations,Micro,
191,FLEMOcs: Public/Private Services,TRUE,Low,0,,FLEMOcs,Germany,Structure,Employment,Office,,,,Observations,Micro,
